Area,Cancer Type,Case Count,Population,Percentage of cases,White Percentage,Annual sunshine days,Percentage above 65,Percent sun
Nevada,Melanomas of the Skin,Data Suppressed,Data Suppressed,,,,,
Puerto Rico,Melanomas of the Skin,184,3193553,,,,,
District of Columbia,Melanomas of the Skin,63,708253,,,,,
Massachusetts,Melanomas of the Skin,1297,6894883,5,79,150,33,58
Alaska,Melanomas of the Skin,111,733603,,,,,
Texas,Melanomas of the Skin,4658,28986794,,,,,
New Mexico,Melanomas of the Skin,443,2099634,,,,,
Missouri,Melanomas of the Skin,1304,6140475,,,,,
Indiana,Melanomas of the Skin,1414,6731010,,,,,
Louisiana,Melanomas of the Skin,969,4658285,,,,,
New York,Melanomas of the Skin,4444,19463131,5,62,160,16,46
Connecticut,Melanomas of the Skin,900,3566022,5.6,78,82,14,56
Michigan,Melanomas of the Skin,2368,9984795,,,,,
Mississippi,Melanomas of the Skin,667,2978227,2.7,59,200,18,61
Alabama,Melanomas of the Skin,1182,4907965,4.7,69,213,13,58
Oklahoma,Melanomas of the Skin,907,3960676,2.6,73,234,15,68
South Carolina,Melanomas of the Skin,1317,5157702,,,,,
Pennsylvania,Melanomas of the Skin,3321,12798883,,,,,
North Dakota,Melanomas of the Skin,177,763724,2.8,86,200,27,59
Colorado,Melanomas of the Skin,1351,5758486,5,86,300,16,71
New Jersey,Melanomas of the Skin,2392,8891258,4.7,71,150,24,56
Rhode Island,Melanomas of the Skin,292,1058158,5.3,83,200,23,58
West Virginia,Melanomas of the Skin,518,1795263,,,,,
Virginia,Melanomas of the Skin,2226,8556642,5,68,200,24,63
Tennessee,Melanomas of the Skin,1838,6830325,,,,,
California,Melanomas of the Skin,10304,39437610,,,,,
South Dakota,Melanomas of the Skin,249,887127,,,,,
Wisconsin,Melanomas of the Skin,1640,5824581,2.9,86,190,13,54
Illinois,Melanomas of the Skin,3594,12667017,,,,,
Florida,Melanomas of the Skin,7503,21492056,7.1,77,240,21,66
Maine,Melanomas of the Skin,474,1345770,,,,,
Oregon,Melanomas of the Skin,1324,4216116,,,,,
Georgia,Melanomas of the Skin,2964,10628020,4.7,59,210,19,66
Hawaii,Melanomas of the Skin,477,1415615,1.8,25,270,21,71
Wyoming,Melanomas of the Skin,184,580116,,,,,
Maryland,Melanomas of the Skin,1933,6054954,5.3,58,213,22,57
Ohio,Melanomas of the Skin,3825,11696507,,,,,
Arizona,Melanomas of the Skin,2461,7291843,5,82,,,
Arkansas,Melanomas of the Skin,978,3020985,,,,,
Delaware,Melanomas of the Skin,362,976668,4.8,68,190,25,55
North Carolina,Melanomas of the Skin,3442,10501384,5.2,70,210,27,60
Washington,Melanomas of the Skin,2428,7614024,5.8,77,205,15,47
Kentucky,Melanomas of the Skin,1489,4472345,4.7,87,190,25,56
Kansas,Melanomas of the Skin,964,2912635,,,,,
Idaho,Melanomas of the Skin,610,1789060,,,,,
Nebraska,Melanomas of the Skin,645,1932571,,,,,
Montana,Melanomas of the Skin,410,1070123,,,,,
New Hampshire,Melanomas of the Skin,584,1360783,,,,,
Iowa,Melanomas of the Skin,1197,3159596,,,,,
Vermont,Melanomas of the Skin,266,624046,5.3,94,75,,
Minnesota,Melanomas of the Skin,2343,5640053,,,,,
Utah,Melanomas of the Skin,1250,3203383,,,,,
