Area,Cancer Type,Year,Age-Adjusted Rate,Case Count,Population
United States,Melanomas of the Skin,1999,15.1,41148,275461348
United States,Melanomas of the Skin,2000,16.1,44499,278558214
United States,Melanomas of the Skin,2001,17.1,48011,282115961
United States,Melanomas of the Skin,2002,17.4,49843,284766512
United States,Melanomas of the Skin,2003,17.2,50385,290107933
United States,Melanomas of the Skin,2004,18.2,54188,292805298
United States,Melanomas of the Skin,2005,19.5,58836,295516599
United States,Melanomas of the Skin,2006,19.3,59200,298379912
United States,Melanomas of the Skin,2007,19.7,61709,301231207
United States,Melanomas of the Skin,2008,20,63806,304093966
United States,Melanomas of the Skin,2009,20.4,66167,306771529
United States,Melanomas of the Skin,2010,20.1,66387,309327143
United States,Melanomas of the Skin,2011,20.7,69573,311583481
United States,Melanomas of the Skin,2012,20.7,71114,313877662
United States,Melanomas of the Skin,2013,21.4,74779,316059947
United States,Melanomas of the Skin,2014,22.2,79384,318386329
United States,Melanomas of the Skin,2015,22.9,83198,320738994
United States,Melanomas of the Skin,2016,23,85010,323071755
United States,Melanomas of the Skin,2017,23.2,87732,325122128
United States,Melanomas of the Skin,2018,22.5,85755,323807474
United States,Melanomas of the Skin,2019,22.7,88059,325239182
